                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2465,                 1.0044,                 1.2974,                0.72391,                0.48345,                0.55961,                0.34401,                 1.1657,                 1.0979,                 1.2889,              0.0019183,              0.0019183,              0.0019183
                     35,                  1.253,                  1.005,                 1.2966,                0.74109,                0.54664,                0.65909,                0.40195,                   1.18,                0.90285,                 1.2821,              0.0018967,              0.0018967,              0.0018967
                     36,                 1.2266,                0.98286,                 1.2872,                0.69326,                0.57849,                0.65393,                0.39705,                 1.1705,                0.86929,                 1.2672,              0.0018751,              0.0018751,              0.0018751
                     37,                 1.2186,                0.95048,                   1.28,                0.70048,                0.54788,                0.64224,                 0.3838,                 1.1735,                0.91014,                 1.3003,              0.0018536,              0.0018536,              0.0018536
                     38,                 1.2165,                0.95633,                 1.2658,                0.66159,                0.57701,                0.62184,                0.37691,                 1.1556,                0.91661,                 1.2546,               0.001832,               0.001832,               0.001832
                     39,                 1.2153,                 0.9578,                 1.2605,                0.68919,                0.59653,                 0.6356,                0.38142,                 1.1595,                0.93055,                 1.2844,              0.0018104,              0.0018104,              0.0018104
                     40,                 1.2303,                 0.9755,                 1.2796,                0.74038,                0.53145,                0.63784,                0.39074,                 1.1309,                0.88216,                 1.2538,              0.0017888,              0.0017888,              0.0017888
                     41,                 1.1901,                0.94068,                 1.2529,                0.77333,                0.53286,                0.65147,                0.39945,                 1.1677,                0.86345,                 1.2537,              0.0017673,              0.0017673,              0.0017673
                     42,                 1.2169,                 0.9255,                 1.2589,                0.68072,                0.62473,                0.65371,                  0.397,                 1.1605,                0.92641,                 1.2581,              0.0017457,              0.0017457,              0.0017457
                     43,                 1.1772,                0.91259,                 1.2602,                 0.7003,                 0.5987,                0.67486,                0.40309,                 1.1881,                0.84318,                 1.2962,              0.0017241,              0.0017241,              0.0017241
                     44,                 1.2209,                0.93027,                 1.2589,                0.70678,                0.57701,                0.65005,                0.40212,                 1.1142,                0.88824,                 1.2243,              0.0017026,              0.0017026,              0.0017026
                     45,                 1.1895,                0.89458,                 1.2656,                0.68996,                0.58134,                0.65284,                0.40884,                  1.144,                0.86941,                 1.2439,               0.001681,               0.001681,               0.001681
                     46,                 1.1657,                  0.887,                 1.2357,                 0.7216,                0.57918,                0.66369,                0.38744,                 1.2142,                0.93903,                 1.3136,              0.0016594,              0.0016594,              0.0016594
                     47,                 1.1711,                0.88304,                 1.2258,                0.70888,                0.61171,                0.66379,                0.39799,                 1.1854,                0.87498,                  1.285,              0.0016379,              0.0016379,              0.0016379
                     48,                 1.1678,                0.86751,                 1.2489,                0.67102,                0.61171,                0.67196,                0.41438,                 1.1678,                0.82519,                 1.2691,              0.0016163,              0.0016163,              0.0016163
                     49,                  1.159,                0.88516,                 1.2321,                0.68355,                0.57701,                 0.6496,                  0.399,                 1.1119,                0.82768,                 1.2398,              0.0015947,              0.0015947,              0.0015947
                     50,                 1.1506,                 0.8829,                 1.2307,                0.71488,                0.57267,                0.65687,                0.40633,                 1.1842,                0.88578,                 1.2869,              0.0015732,              0.0015732,              0.0015732
                     51,                 1.1716,                0.85426,                 1.2253,                 0.6605,                0.61614,                0.65912,                0.39733,                 1.1373,                0.88085,                 1.2504,              0.0015516,              0.0015516,              0.0015516
                     52,                 1.1501,                0.89157,                  1.222,                0.70808,                0.56399,                0.64825,                0.40201,                 1.1488,                 0.8739,                 1.2437,                0.00153,                0.00153,                0.00153
                     53,                 1.1174,                0.86189,                 1.2065,                0.71988,                0.59219,                0.66392,                0.41046,                 1.1103,                0.86907,                  1.235,              0.0015085,              0.0015085,              0.0015085
                     54,                 1.1636,                0.87137,                 1.2321,                0.66993,                0.59437,                0.63985,                 0.4019,                 1.1808,                0.88828,                 1.2886,              0.0014869,              0.0014869,              0.0014869
                     55,                 1.1345,                0.86336,                 1.2244,                0.69644,                0.58134,                0.65476,                0.40523,                 1.1167,                 0.8721,                  1.234,              0.0014653,              0.0014653,              0.0014653
                     56,                 1.1239,                0.85069,                 1.2009,                0.77595,                0.55748,                0.67201,                0.40695,                 1.1445,                0.84815,                 1.2669,              0.0014438,              0.0014438,              0.0014438
                     57,                 1.1312,                0.85061,                 1.2144,                 0.6932,                0.60774,                 0.6798,                 0.4166,                 1.1486,                0.84175,                 1.2543,              0.0014222,              0.0014222,              0.0014222
                     58,                 1.1219,                0.84412,                 1.2118,                0.73682,                0.56616,                0.66061,                0.40679,                 1.1326,                 0.8376,                 1.2297,              0.0014006,              0.0014006,              0.0014006
                     59,                 1.1138,                0.82912,                 1.2059,                0.72829,                0.63557,                0.69862,                0.42221,                 1.1153,                0.78783,                 1.2136,              0.0013791,              0.0013791,              0.0013791
                     60,                 1.1276,                0.82793,                  1.193,                0.72372,                0.59097,                0.65278,                0.40383,                 1.1364,                 0.8132,                 1.2334,              0.0013575,              0.0013575,              0.0013575
                     61,                 1.0863,                0.80731,                 1.1869,                0.76421,                0.57267,                 0.6719,                0.40602,                 1.1263,                0.83176,                 1.2478,              0.0013359,              0.0013359,              0.0013359
                     62,                  1.144,                0.83541,                 1.2075,                0.71999,                0.59123,                 0.6769,                0.42243,                 1.1098,                0.78477,                 1.2234,              0.0013144,              0.0013144,              0.0013144
                     63,                 1.1055,                 0.8084,                 1.1877,                0.71452,                0.59219,                0.66435,                0.41467,                 1.1154,                0.77545,                 1.2342,              0.0012928,              0.0012928,              0.0012928
                     64,                 1.1253,                 0.8305,                 1.1993,                0.69505,                0.62789,                0.67757,                0.41405,                  1.124,                0.78213,                 1.2452,              0.0012712,              0.0012712,              0.0012712
                     65,                    1.1,                0.81661,                 1.2032,                0.76866,                0.54881,                0.64345,                0.40132,                 1.1001,                0.83938,                 1.2326,              0.0012496,              0.0012496,              0.0012496
                     66,                 1.0683,                0.77554,                 1.1804,                0.68418,                0.63991,                0.68663,                0.43222,                 1.1171,                0.80188,                 1.2316,              0.0012281,              0.0012281,              0.0012281
                     67,                 1.0557,                0.78208,                 1.1793,                0.75646,                0.58568,                0.67912,                0.42368,                 1.1312,                0.79265,                 1.2586,              0.0012065,              0.0012065,              0.0012065
                     68,                 1.0833,                0.79048,                 1.1735,                0.75778,                0.59042,                0.67783,                0.41853,                 1.1363,                0.83699,                 1.2402,              0.0011849,              0.0011849,              0.0011849
                     69,                 1.0637,                0.77402,                 1.1704,                 0.7357,                0.60381,                0.67833,                0.43039,                 1.0734,                0.77316,                 1.2064,              0.0011634,              0.0011634,              0.0011634
                     70,                 1.0829,                0.77562,                 1.1843,                0.70547,                0.63124,                0.68999,                0.42813,                 1.1219,                0.75591,                 1.2426,              0.0011418,              0.0011418,              0.0011418
                     71,                 1.0984,                0.77062,                 1.1731,                0.69899,                0.62966,                0.69327,                0.42208,                 1.1063,                0.80598,                 1.2134,              0.0011202,              0.0011202,              0.0011202
                     72,                 1.0633,                0.77258,                  1.173,                0.70053,                0.61905,                0.67039,                0.41913,                 1.1208,                0.83838,                  1.234,              0.0010987,              0.0010987,              0.0010987
                     73,                 1.0413,                0.74252,                 1.1593,                0.71488,                0.60738,                   0.69,                0.42872,                 1.1047,                0.74152,                  1.202,              0.0010771,              0.0010771,              0.0010771
                     74,                 1.0454,                0.73382,                 1.1655,                0.72707,                0.60304,                0.69309,                0.42551,                 1.1182,                0.74919,                 1.2189,              0.0010555,              0.0010555,              0.0010555
                     75,                 1.0468,                0.75464,                 1.1567,                0.72338,                0.64101,                0.70624,                0.43824,                 1.0916,                0.76495,                 1.2068,               0.001034,               0.001034,               0.001034
                     76,                 1.0378,                0.74003,                 1.1551,                0.68257,                0.63341,                0.68887,                 0.4273,                 1.0619,                0.75754,                  1.213,              0.0010124,              0.0010124,              0.0010124
                     77,                 1.0251,                0.71996,                  1.149,                0.74406,                 0.5987,                0.68201,                0.43254,                 1.0735,                0.78931,                 1.1988,             0.00099083,             0.00099083,             0.00099083
                     78,                 1.0743,                0.74897,                  1.168,                0.74113,                0.57267,                0.66848,                 0.4217,                  1.075,                0.81831,                 1.2042,             0.00096927,             0.00096927,             0.00096927
                     79,                 1.0456,                0.72091,                 1.1428,                0.69251,                0.64208,                0.70174,                0.43765,                 1.1038,                0.74693,                 1.2021,              0.0009477,              0.0009477,              0.0009477
                     80,                 1.0246,                0.71034,                 1.1563,                0.74992,                0.59219,                0.67913,                0.43467,                 1.0674,                0.75063,                  1.192,             0.00092613,             0.00092613,             0.00092613
                     81,                 1.0033,                0.71217,                 1.1393,                0.74731,                0.59436,                0.67755,                0.42821,                 1.0721,                0.77803,                 1.1946,             0.00090456,             0.00090456,             0.00090456
                     82,                 1.0094,                0.70098,                 1.1419,                0.68533,                0.63774,                0.67434,                0.41698,                 1.0874,                0.78208,                 1.1969,             0.00088299,             0.00088299,             0.00088299
                     83,                  1.027,                 0.7083,                 1.1337,                0.72521,                0.59436,                0.66584,                0.43245,                 1.0665,                0.75976,                 1.1947,             0.00086143,             0.00086143,             0.00086143
                     84,                0.97288,                 0.6801,                 1.1267,                0.77327,                0.55965,                0.68616,                0.43815,                 1.0631,                0.76993,                 1.1957,             0.00083986,             0.00083986,             0.00083986
                     85,                 1.0037,                0.69595,                 1.1402,                0.75344,                0.60087,                0.70009,                0.44346,                 1.0782,                0.76017,                  1.194,             0.00081829,             0.00081829,             0.00081829
                     86,                0.97686,                0.68545,                 1.1286,                0.72771,                0.61451,                0.70425,                0.44187,                 1.0976,                0.71534,                 1.2052,             0.00079672,             0.00079672,             0.00079672
                     87,                0.98516,                0.67454,                 1.1146,                0.70236,                0.62962,                0.68879,                0.43869,                 1.0954,                0.74293,                 1.2107,             0.00077515,             0.00077515,             0.00077515
                     88,                0.97393,                0.66724,                 1.1178,                0.74847,                0.62613,                0.70688,                0.44039,                 1.0749,                0.72852,                 1.2031,             0.00075359,             0.00075359,             0.00075359
                     89,                0.97658,                0.66292,                  1.123,                0.74451,                0.62579,                0.70399,                0.44779,                 1.0664,                0.73683,                 1.1938,             0.00073202,             0.00073202,             0.00073202
                     90,                 1.0311,                0.68696,                   1.13,                0.69353,                0.62342,                0.68395,                0.42777,                 1.0819,                0.74523,                 1.2118,             0.00071045,             0.00071045,             0.00071045
                     91,                0.98971,                0.67482,                 1.1262,                  0.741,                0.60304,                  0.699,                0.43931,                 1.0584,                0.77696,                 1.1818,             0.00068888,             0.00068888,             0.00068888
                     92,                0.98196,                0.67327,                 1.1202,                0.76541,                0.60087,                0.70195,                0.44967,                 1.0803,                 0.7226,                 1.2043,             0.00066731,             0.00066731,             0.00066731
                     93,                0.97026,                0.65998,                 1.1057,                0.76051,                0.61822,                0.70705,                0.44646,                 1.0875,                0.73863,                 1.2049,             0.00064575,             0.00064575,             0.00064575
                     94,                0.97147,                0.66222,                 1.1102,                0.67514,                0.65293,                 0.7003,                0.43927,                 1.0796,                0.72578,                 1.2027,             0.00062418,             0.00062418,             0.00062418
                     95,                0.97843,                0.65714,                 1.1017,                0.72281,                0.63918,                0.69448,                0.44114,                 1.0699,                0.70915,                 1.1944,             0.00060261,             0.00060261,             0.00060261
                     96,                0.93684,                0.63541,                 1.1077,                 0.7535,                 0.5987,                0.69994,                0.43772,                 1.0612,                0.74499,                 1.1917,             0.00058104,             0.00058104,             0.00058104
                     97,                 0.9518,                0.64618,                 1.0998,                0.70299,                0.63774,                0.68836,                0.43265,                 1.0688,                0.74341,                 1.1967,             0.00055947,             0.00055947,             0.00055947
                     98,                0.95637,                0.63387,                 1.0975,                0.73746,                0.61171,                0.69498,                0.44286,                 1.0794,                0.74011,                 1.2026,             0.00053791,             0.00053791,             0.00053791
                     99,                0.94884,                0.63188,                 1.0995,                0.68027,                0.62768,                  0.685,                0.44072,                 1.0895,                0.75903,                 1.2177,             0.00051634,             0.00051634,             0.00051634
                    100,                 0.9115,                0.60894,                 1.0842,                0.75663,                0.59346,                0.68791,                 0.4433,                 1.0765,                0.76319,                 1.2012,             0.00049477,             0.00049477,             0.00049477
                    101,                0.97404,                0.64899,                  1.107,                0.71586,                 0.6285,                0.69175,                0.44453,                 1.0732,                0.72605,                 1.1988,              0.0004732,              0.0004732,              0.0004732
                    102,                0.93746,                0.62205,                 1.0884,                0.72988,                0.63301,                0.69511,                0.44846,                 1.0624,                0.72784,                 1.1944,             0.00045163,             0.00045163,             0.00045163
                    103,                0.92483,                0.62488,                 1.0924,                0.73556,                0.62753,                0.70295,                0.44818,                 1.0584,                0.73387,                 1.1894,             0.00043007,             0.00043007,             0.00043007
