                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.63357,                0.45819,                0.95275,                0.98217,                0.98333,                0.98353,                0.78071,                0.80144,                 0.3994,                 1.1554,              0.0036208,              0.0036208,              0.0036208
                     37,                0.60327,                0.45178,                0.94296,                0.98213,                0.98333,                0.98305,                0.76028,                0.85538,                0.41944,                 1.1923,              0.0035902,              0.0035902,              0.0035902
                     38,                0.62651,                0.44969,                0.94686,                0.98359,                0.99912,                 0.9909,                0.74269,                0.88485,                0.42314,                 1.2146,              0.0035597,              0.0035597,              0.0035597
                     39,                0.62303,                0.44916,                0.95031,                0.98214,                0.98333,                0.98368,                 0.7512,                 0.8385,                0.40924,                 1.1768,              0.0035291,              0.0035291,              0.0035291
                     40,                0.60899,                0.43669,                0.94118,                0.98287,                      1,                0.99123,                0.77328,                 0.7778,                0.40053,                 1.1359,              0.0034986,              0.0034986,              0.0034986
                     41,                 0.6241,                0.46658,                0.96245,                0.98217,                0.98333,                0.98098,                0.77402,                  0.891,                0.39571,                 1.2466,               0.003468,               0.003468,               0.003468
                     42,                0.60539,                0.42437,                0.94047,                0.98227,                0.98333,                0.99183,                0.76653,                0.87393,                0.41727,                 1.2071,              0.0034375,              0.0034375,              0.0034375
                     43,                0.61739,                0.43871,                0.94259,                0.98233,                0.98333,                0.99038,                 0.7596,                0.89046,                0.38755,                 1.2531,              0.0034069,              0.0034069,              0.0034069
                     44,                0.60326,                0.42602,                0.93122,                0.96561,                0.96667,                0.96743,                0.75281,                0.88562,                 0.4101,                 1.2225,              0.0033764,              0.0033764,              0.0033764
                     45,                0.59726,                0.42899,                0.93772,                0.98226,                0.98333,                0.98306,                0.75531,                0.91472,                 0.3981,                 1.2573,              0.0033458,              0.0033458,              0.0033458
                     46,                0.61773,                0.44152,                 0.9457,                0.98221,                0.98333,                0.98385,                0.76826,                 0.8454,                0.40208,                 1.2144,              0.0033153,              0.0033153,              0.0033153
                     47,                0.58726,                 0.4188,                0.93136,                0.98224,                0.98333,                0.98823,                0.79079,                0.86237,                0.39318,                 1.2225,              0.0032847,              0.0032847,              0.0032847
                     48,                 0.6031,                0.42144,                0.93899,                0.98211,                0.98333,                0.98176,                0.73681,                0.96093,                 0.4228,                 1.3187,              0.0032542,              0.0032542,              0.0032542
                     49,                0.57765,                0.40893,                 0.9237,                0.99888,                      1,                  0.995,                0.76337,                0.89523,                0.40029,                 1.2607,              0.0032236,              0.0032236,              0.0032236
                     50,                 0.5953,                0.41674,                0.93352,                0.99896,                      1,                  0.995,                0.76514,                0.89162,                0.38615,                 1.2582,              0.0031931,              0.0031931,              0.0031931
                     51,                 0.5977,                0.43178,                0.92497,                 0.9988,                      1,                  0.995,                0.76775,                0.84382,                0.40285,                 1.2027,              0.0031625,              0.0031625,              0.0031625
                     52,                0.60437,                0.44106,                0.94778,                0.99897,                      1,                  0.995,                0.77145,                0.83081,                0.38288,                 1.1867,               0.003132,               0.003132,               0.003132
