                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1762,                0.92541,                 1.2168,                0.72112,                0.56399,                0.64642,                0.39404,                 1.1626,                0.88527,                 1.2302,                0.00769,                0.00769,                0.00769
                     37,                 1.1794,                0.90883,                 1.2129,                0.71768,                0.58452,                0.66922,                0.41246,                 1.1287,                0.81394,                 1.2248,               0.007624,               0.007624,               0.007624
                     38,                  1.178,                0.89771,                 1.2016,                0.76234,                0.56182,                0.64794,                0.40349,                 1.1367,                 0.9045,                 1.2043,               0.007558,               0.007558,               0.007558
                     39,                 1.1832,                0.88696,                 1.1997,                0.74183,                0.53145,                0.62478,                0.38634,                 1.1394,                0.90624,                 1.2153,               0.007492,               0.007492,               0.007492
                     40,                 1.1808,                0.92589,                 1.2072,                0.65565,                0.61605,                0.65986,                0.40559,                 1.1352,                0.84711,                 1.2075,               0.007426,               0.007426,               0.007426
                     41,                 1.1444,                0.89812,                 1.1995,                0.69725,                0.61388,                0.68222,                0.41483,                  1.105,                0.82197,                 1.1887,                0.00736,                0.00736,                0.00736
                     42,                 1.1836,                0.88504,                 1.2082,                0.75677,                0.55343,                0.64574,                0.39482,                 1.1926,                0.88786,                 1.2588,               0.007294,               0.007294,               0.007294
                     43,                 1.1416,                0.86892,                 1.1981,                0.78012,                0.55748,                0.66719,                0.41179,                 1.1504,                0.85269,                 1.2342,               0.007228,               0.007228,               0.007228
                     44,                 1.1691,                0.88667,                 1.1903,                0.69438,                0.62099,                0.68743,                0.41494,                 1.1365,                0.83033,                 1.1931,               0.007162,               0.007162,               0.007162
                     45,                 1.1401,                0.85569,                 1.1892,                0.74763,                0.57267,                0.65512,                0.40378,                 1.1249,                0.90233,                 1.2271,               0.007096,               0.007096,               0.007096
                     46,                 1.1381,                0.86147,                  1.185,                0.76589,                0.63124,                0.70809,                0.42519,                  1.118,                0.80353,                 1.2117,                0.00703,                0.00703,                0.00703
                     47,                 1.1499,                0.83014,                 1.1736,                0.78977,                0.55315,                0.65931,                0.41882,                 1.1409,                0.86215,                 1.2232,               0.006964,               0.006964,               0.006964
                     48,                 1.1276,                 0.8337,                 1.1847,                 0.7131,                0.61464,                0.67204,                 0.4088,                 1.1323,                0.88627,                 1.2408,               0.006898,               0.006898,               0.006898
                     49,                 1.1238,                0.84527,                 1.1767,                 0.7599,                0.56616,                0.67811,                0.41942,                 1.1288,                0.79364,                 1.2054,               0.006832,               0.006832,               0.006832
                     50,                 1.1136,                0.81755,                 1.1727,                0.75471,                 0.5705,                0.66287,                0.40991,                 1.1553,                 0.8617,                 1.2179,               0.006766,               0.006766,               0.006766
