                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.184,                0.89609,                  1.227,                0.74154,                0.60738,                0.69721,                0.42464,                 1.0941,                0.81498,                 1.1866,              0.0011088,              0.0011088,              0.0011088
                     36,                 1.1575,                0.88861,                 1.2107,                0.68051,                0.61171,                0.67308,                0.41789,                 1.1176,                0.80045,                 1.2027,              0.0010993,              0.0010993,              0.0010993
                     37,                 1.1439,                0.87198,                 1.2109,                0.69835,                0.60764,                0.66237,                0.40447,                 1.1634,                0.84384,                 1.2284,              0.0010899,              0.0010899,              0.0010899
                     38,                 1.1618,                0.88617,                 1.2145,                0.69077,                0.63557,                0.67583,                0.40718,                 1.1416,                0.81451,                 1.2142,              0.0010804,              0.0010804,              0.0010804
                     39,                 1.1643,                 0.8699,                 1.2011,                0.65741,                0.61605,                0.64553,                0.39477,                 1.1313,                 0.8315,                 1.2282,               0.001071,               0.001071,               0.001071
                     40,                 1.1688,                0.90425,                 1.2164,                 0.6698,                0.61601,                0.67241,                0.42117,                  1.086,                0.78733,                 1.1875,              0.0010615,              0.0010615,              0.0010615
                     41,                 1.1437,                0.86962,                 1.2105,                0.70855,                0.61172,                0.67651,                0.41398,                 1.1323,                0.80173,                 1.2154,              0.0010521,              0.0010521,              0.0010521
                     42,                 1.1628,                0.86728,                 1.2047,                0.72947,                0.60246,                0.66862,                0.42627,                 1.0747,                 0.7986,                 1.1661,              0.0010426,              0.0010426,              0.0010426
                     43,                 1.1266,                0.83632,                 1.2072,                0.68221,                 0.6269,                0.67033,                 0.4153,                 1.0921,                0.80586,                 1.1885,              0.0010332,              0.0010332,              0.0010332
                     44,                 1.1536,                0.86157,                 1.2045,                0.67384,                0.62292,                0.66818,                0.41572,                 1.1099,                0.79376,                  1.205,              0.0010237,              0.0010237,              0.0010237
